date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_bigmac,adj_price,USD,EUR,GBP,JPY,CNY
2003-04-01,EUZ,EUR,Euro area,2.71,0.909090909,2.9810000002981,22322.8281182452,2.34711509951989,0.42182,0,-0.02575,0.61271,0.94067
2003-04-01,HKG,HKD,Hong Kong,11.5,7.8,1.47435897435897,41261.7008608696,2.84027207420781,-0.41889,-0.59129,-0.60181,-0.34087,-0.20683
2003-04-01,HUN,HUF,Hungary,490,224,2.1875,8601.97425502041,1.9898322309311,0.23069,-0.13443,-0.15672,0.39592,0.67979
2003-04-01,IDN,IDR,Indonesia,16100,8740,1.84210526315789,1426.83995559503,1.80299600407793,0.14377,-0.19556,-0.21628,0.29733,0.56114
2003-04-01,JPN,JPY,Japan,262,120,2.18333333333333,38653.7031373282,2.77236136564489,-0.11837,-0.37993,-0.39589,0,0.20335
2003-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,8238.52535714286,1.98036823793813,-0.25025,-0.47268,-0.48626,-0.14959,0.02335
2003-04-01,MEX,MXN,Mexico,23,10.53,2.18423551756885,8194.69616869565,1.97922695195604,0.23544,-0.13109,-0.15346,0.40131,0.68627
2003-04-01,NZL,NZD,New Zealand,3.95,1.78,2.21910112359551,21071.4744,2.31453059344391,0.07333,-0.2451,-0.26454,0.21743,0.465
2003-04-01,PER,PEN,Peru,7.9,3.46,2.28323699421965,2188.3854835443,1.8228261963895,0.40224,-0.01377,-0.03917,0.59051,0.91394
2003-04-01,PHL,PHP,Philippines,65,52.5,1.23809523809524,2051.22619015385,1.8192546500204,-0.23814,-0.46416,-0.47796,-0.13585,0.03988
2003-04-01,POL,PLN,Poland,6.3,3.89,1.61953727506427,8293.20002857143,1.98179193384232,-0.08515,-0.35656,-0.37313,0.03768,0.24869
2003-04-01,RUS,RUB,Russia,41,31.1,1.31832797427653,4791.73746,1.89061593246325,-0.21938,-0.45097,-0.46511,-0.11458,0.06548
2003-04-01,SGP,SGD,Singapore,3.3,1.78,1.85393258426966,29578.9945272727,2.53606135428058,-0.18163,-0.42442,-0.43924,-0.07175,0.11701
2003-04-01,ZAF,ZAR,South Africa,13.95,7.56,1.8452380952381,5176.30660645161,1.9006298841593,0.08686,-0.23559,-0.25527,0.23278,0.48347
2003-04-01,KOR,KRW,South Korea,3300,1220,2.70491803278689,12278.1448322182,2.08555752487678,0.45194,0.02118,-0.00511,0.64688,0.98178
2003-04-01,SWE,SEK,Sweden,30,8.34,3.59712230215827,23830.51159,2.3863742798218,0.68746,0.18683,0.15627,0.91402,1.30324
2003-04-01,CHE,CHF,Switzerland,6.3,1.37,4.5985401459854,25960.4565333333,2.44183677850273,1.10824,0.48278,0.44459,1.39129,1.87757
2003-04-01,TWN,TWD,Taiwan,70,34.8,2.01149425287356,16589.1524691429,2.19781359803247,0.02458,-0.27939,-0.29795,0.16214,0.39846
